match_id,player_id,player_name,team,opposition,date,format,venue,batting_position,runs,balls_faced,fours,sixes,dismissal_type,dismissed,balls_bowled,maidens,runs_conceded,wickets,wides,no_balls,dot_balls,fours_conceded,sixes_conceded,catches,run_outs,stumpings,team_won,player_of_match
426721,b8a55852,BB McCullum,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,1.0,131,130,14,3,bowled,True,0,0,0,0,0,0,0,0,0,0,0,0,True,True
426721,48f177f5,AJ Redmond,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,2.0,6,8,1,0,caught,True,0,0,0,0,0,0,0,0,0,0,0,0,True,False
426721,2be41edb,MJ Guptill,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,3.0,62,71,5,2,caught,True,0,0,0,0,0,0,0,0,0,3,1,0,True,False
426721,b61a3e1a,LRPL Taylor,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,4.0,0,2,0,0,bowled,True,0,0,0,0,0,0,0,0,0,2,0,0,True,False
426721,57efa3be,SB Styris,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,5.0,9,13,1,0,run out,True,24,0,23,3,1,0,11,0,1,0,0,0,True,False
426721,d7c6af50,DL Vettori,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,6.0,30,33,1,0,caught,True,60,0,37,2,0,0,30,2,0,0,1,0,True,False
426721,a354c917,NT Broom,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,7.0,0,2,0,0,lbw,True,0,0,0,0,0,0,0,0,0,0,0,0,True,False
426721,3eac9d95,JDP Oram,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,8.0,33,33,0,1,,False,36,0,26,0,0,0,18,2,0,1,0,0,True,False
426721,7fb32e5b,KD Mills,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,9.0,4,8,0,0,caught,True,60,1,57,2,3,1,30,5,1,0,0,0,True,False
426721,4f629497,SE Bond,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,10.0,10,6,1,0,,False,56,2,43,1,0,0,34,6,0,0,0,0,True,False
426721,13c35c9e,TG Southee,New Zealand,Pakistan,2009-11-06,ODI,Sheikh Zayed Stadium,,0,0,0,0,,False,48,0,48,1,4,0,24,6,0,1,0,0,True,False
426721,4d6d6280,Salman Butt,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,1.0,59,81,6,0,run out,True,0,0,0,0,0,0,0,0,0,0,0,0,False,False
426721,5eea345c,Khalid Latif,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,2.0,45,54,6,0,lbw,True,0,0,0,0,0,0,0,0,0,1,0,0,False,False
426721,33cb3411,Younis Khan,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,3.0,19,37,0,0,caught,True,0,0,0,0,0,0,0,0,0,1,1,0,False,False
426721,0dc00542,Shahid Afridi,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,4.0,0,2,0,0,caught,True,60,0,49,2,1,0,29,2,2,0,0,0,False,False
426721,ff077124,Kamran Akmal,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,5.0,4,8,0,0,caught,True,0,0,0,0,0,0,0,0,0,1,0,0,False,False
426721,e237b28c,Mohammad Yousuf,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,6.0,18,18,1,1,lbw,True,0,0,0,0,0,0,0,0,0,0,0,0,False,False
426721,64c34cd0,Shoaib Malik,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,7.0,26,28,3,0,caught,True,0,0,0,0,0,0,0,0,0,0,0,0,False,False
426721,390ff45b,Abdul Razzaq,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,8.0,35,31,3,1,caught,True,60,0,60,2,0,0,19,3,1,0,0,0,False,False
426721,16dfcc19,Umar Gul,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,9.0,4,15,0,0,caught,True,60,0,59,2,0,0,27,8,0,0,0,0,False,False
426721,e174dadd,Mohammad Amir,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,10.0,12,15,2,0,caught,True,60,0,64,1,1,3,33,7,1,1,0,0,False,False
426721,05d74535,Saeed Ajmal,Pakistan,New Zealand,2009-11-06,ODI,Sheikh Zayed Stadium,11.0,3,3,0,0,,False,60,0,59,0,1,0,26,3,2,0,0,0,False,False
225247,ea42ddb9,ME Trescothick,England,Pakistan,2006-09-05,ODI,The Rose Bowl,1.0,0,1,0,0,bowled,True,0,0,0,0,0,0,0,0,0,1,0,0,False,False
225247,b68d14a9,AJ Strauss,England,Pakistan,2006-09-05,ODI,The Rose Bowl,3.0,50,48,8,0,caught,True,0,0,0,0,0,0,0,0,0,0,1,0,False,False
225247,33155d1b,IR Bell,England,Pakistan,2006-09-05,ODI,The Rose Bowl,2.0,42,66,3,0,caught,True,0,0,0,0,0,0,0,0,0,0,0,0,False,False
225247,39f01cdb,KP Pietersen,England,Pakistan,2006-09-05,ODI,The Rose Bowl,4.0,20,22,3,0,caught,True,24,0,23,0,0,0,9,0,1,0,0,0,False,False
225247,a386e91b,PD Collingwood,England,Pakistan,2006-09-05,ODI,The Rose Bowl,5.0,61,64,5,0,caught,True,18,0,20,0,1,0,6,2,0,2,0,0,False,False
225247,1afdbdbf,JWM Dalrymple,England,Pakistan,2006-09-05,ODI,The Rose Bowl,6.0,62,78,5,0,bowled,True,60,0,44,1,1,0,30,2,1,0,0,0,False,False
225247,8728a058,R Clarke,England,Pakistan,2006-09-05,ODI,The Rose Bowl,7.0,0,1,0,0,bowled,True,23,0,27,0,3,1,7,2,0,0,0,0,False,False
225247,be4cefab,CMW Read,England,Pakistan,2006-09-05,ODI,The Rose Bowl,8.0,21,22,2,0,,False,0,0,0,0,0,0,0,0,0,1,0,0,False,False
225247,e97aefe2,SI Mahmood,England,Pakistan,2006-09-05,ODI,The Rose Bowl,,0,0,0,0,run out,True,54,0,66,1,5,5,28,7,1,0,0,0,False,False
225247,6c75310b,J Lewis,England,Pakistan,2006-09-05,ODI,The Rose Bowl,9.0,7,4,1,0,caught,True,54,0,32,2,0,0,35,3,1,0,0,0,False,False
225247,eba6a852,SCJ Broad,England,Pakistan,2006-09-05,ODI,The Rose Bowl,10.0,0,1,0,0,,False,60,1,57,3,1,1,36,9,0,0,0,0,False,False
225247,64c34cd0,Shoaib Malik,Pakistan,England,2006-09-05,ODI,The Rose Bowl,1.0,1,4,0,0,caught,True,24,0,19,0,1,0,12,0,0,1,0,0,True,False
225247,9ab63e7b,Mohammad Hafeez,Pakistan,England,2006-09-05,ODI,The Rose Bowl,2.0,20,20,2,1,run out,True,18,0,14,0,0,0,7,1,0,2,0,0,True,False
225247,33cb3411,Younis Khan,Pakistan,England,2006-09-05,ODI,The Rose Bowl,3.0,101,112,13,1,caught,True,0,0,0,0,0,0,0,0,0,0,0,0,True,True
225247,e237b28c,Mohammad Yousuf,Pakistan,England,2006-09-05,ODI,The Rose Bowl,4.0,60,107,5,0,bowled,True,0,0,0,0,0,0,0,0,0,0,0,0,True,False
225247,b9a3d8c6,Inzamam-ul-Haq,Pakistan,England,2006-09-05,ODI,The Rose Bowl,5.0,44,33,3,2,,False,0,0,0,0,0,0,0,0,0,0,0,0,True,False
225247,0dc00542,Shahid Afridi,Pakistan,England,2006-09-05,ODI,The Rose Bowl,6.0,0,4,0,0,caught,True,36,0,26,0,0,0,20,2,0,0,0,0,True,False
225247,390ff45b,Abdul Razzaq,Pakistan,England,2006-09-05,ODI,The Rose Bowl,7.0,16,19,1,0,caught and bowled,True,48,0,44,2,0,1,23,4,0,0,1,0,True,False
225247,ff077124,Kamran Akmal,Pakistan,England,2006-09-05,ODI,The Rose Bowl,8.0,0,1,0,0,caught,True,0,0,0,0,0,0,0,0,0,1,0,0,True,False
225247,33f28243,Naved-ul-Hasan,Pakistan,England,2006-09-05,ODI,The Rose Bowl,9.0,7,8,1,0,bowled,True,60,1,57,4,2,0,33,7,0,0,0,0,True,False
